model,display_name,family,size,status,route_available,syntax_checked,dry_run_checked,gpu_smoke_status,formal_run_status,route,script,evaluation_script,note
monai_unet,U-Net,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai512,experiments/monai/train_512.py,evaluation/families/evaluate_monai_family.py,
monai_unet,U-Net,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_monai_family.py,
monai_vnet,V-Net,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai512,experiments/monai/train_512.py,evaluation/families/evaluate_monai_family.py,
monai_vnet,V-Net,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_monai_family.py,
monai_attention_unet,Attention U-Net,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai512,experiments/monai/train_512.py,evaluation/families/evaluate_monai_family.py,
monai_attention_unet,Attention U-Net,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_monai_family.py,
monai_unetplusplus,U-Net++,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai512,experiments/monai/train_512.py,evaluation/families/evaluate_monai_family.py,
monai_unetplusplus,U-Net++,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,monai224,experiments/monai/train_224_filtered.py,evaluation/families/evaluate_monai_family.py,
mednext,MedNeXt,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional512,experiments/april/train_additional_512.py,evaluation/families/evaluate_mednext_pvtb2_rolling.py,
mednext,MedNeXt,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional224,experiments/april/train_additional_224.py,evaluation/families/evaluate_mednext_pvtb2_rolling_224.py,
pvtb2_emcad,PVTv2-B2-EMCAD,Transformer,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional512,experiments/april/train_additional_512.py,evaluation/families/evaluate_mednext_pvtb2_rolling.py,
pvtb2_emcad,PVTv2-B2-EMCAD,Transformer,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional224,experiments/april/train_additional_224.py,evaluation/families/evaluate_mednext_pvtb2_rolling_224.py,
rolling_unet,Rolling-UNet,Other,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional512,experiments/april/train_additional_512.py,evaluation/families/evaluate_mednext_pvtb2_rolling.py,
rolling_unet,Rolling-UNet,Other,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_additional224,experiments/april/train_additional_224.py,evaluation/families/evaluate_mednext_pvtb2_rolling_224.py,
nnunet_2d,nnU-Net,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
nnunet_2d,nnU-Net,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
aau_net,AAU-Net,CNN,512,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
aau_net,AAU-Net,CNN,224,route_available,True,True,True,checkpoint_5_case_passed_author_env_across_runs,not_reverified_in_release_audit,april_general,experiments/april/train_general.py,evaluation/families/evaluate_autodl_easy_models.py,
